=== linux 压缩报告 ===
开始时间: 2025年 07月 29日 星期二 10:40:35 CST
源路径: /mnt/dataset2/linux
  压缩文件: ./compressed_datasets/linux/v2.6.20-rc1.tar.zip

文件 #60: v2.6.20-rc2.tar
  原始大小: 238.43 MiB
  压缩大小: 52.43 MiB
  压缩率: 4.54x
  压缩时间: 5.63 秒
  压缩吞吐量: 42.31 MiB/s
  解压时间: 1.08 秒
  解压吞吐量: 220.85 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.20-rc2.tar.zip

文件 #61: v2.6.20-rc3.tar
  原始大小: 238.44 MiB
  压缩大小: 52.43 MiB
  压缩率: 4.54x
  压缩时间: 5.74 秒
  压缩吞吐量: 41.52 MiB/s
  解压时间: 1.07 秒
  解压吞吐量: 222.11 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.20-rc3.tar.zip

文件 #62: v2.6.20-rc4.tar
  原始大小: 238.50 MiB
  压缩大小: 52.45 MiB
  压缩率: 4.54x
  压缩时间: 5.64 秒
  压缩吞吐量: 42.25 MiB/s
  解压时间: 1.07 秒
  解压吞吐量: 222.67 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.20-rc4.tar.zip

文件 #63: v2.6.20-rc5.tar
  原始大小: 238.54 MiB
  压缩大小: 52.46 MiB
  压缩率: 4.54x
  压缩时间: 5.89 秒
  压缩吞吐量: 40.53 MiB/s
  解压时间: 1.07 秒
  解压吞吐量: 222.92 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.20-rc5.tar.zip

文件 #64: v2.6.20-rc6.tar
  原始大小: 238.69 MiB
  压缩大小: 52.50 MiB
  压缩率: 4.54x
  压缩时间: 5.81 秒
  压缩吞吐量: 41.04 MiB/s
  解压时间: 1.09 秒
  解压吞吐量: 218.74 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.20-rc6.tar.zip

文件 #65: v2.6.20-rc7.tar
  原始大小: 238.71 MiB
  压缩大小: 52.50 MiB
  压缩率: 4.54x
  压缩时间: 5.78 秒
  压缩吞吐量: 41.33 MiB/s
  解压时间: 1.11 秒
  解压吞吐量: 214.79 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.20-rc7.tar.zip

文件 #66: v2.6.20.tar
  原始大小: 238.72 MiB
  压缩大小: 53.47 MiB
  压缩率: 4.46x
  压缩时间: 6.12 秒
  压缩吞吐量: 39.01 MiB/s
  解压时间: 1.11 秒
  解压吞吐量: 215.39 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.20.tar.zip

文件 #67: v2.6.21-rc1.tar
  原始大小: 242.35 MiB
  压缩大小: 53.18 MiB
  压缩率: 4.55x
  压缩时间: 5.82 秒
  压缩吞吐量: 41.63 MiB/s
  解压时间: 1.11 秒
  解压吞吐量: 218.24 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21-rc1.tar.zip

文件 #68: v2.6.21-rc2.tar
  原始大小: 242.57 MiB
  压缩大小: 53.22 MiB
  压缩率: 4.55x
  压缩时间: 5.86 秒
  压缩吞吐量: 41.39 MiB/s
  解压时间: 1.09 秒
  解压吞吐量: 222.95 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21-rc2.tar.zip

文件 #69: v2.6.21-rc3.tar
  原始大小: 242.59 MiB
  压缩大小: 53.24 MiB
  压缩率: 4.55x
  压缩时间: 5.86 秒
  压缩吞吐量: 41.37 MiB/s
  解压时间: 1.09 秒
  解压吞吐量: 222.54 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21-rc3.tar.zip

文件 #70: v2.6.21-rc4.tar
  原始大小: 242.57 MiB
  压缩大小: 53.24 MiB
  压缩率: 4.55x
  压缩时间: 5.95 秒
  压缩吞吐量: 40.78 MiB/s
  解压时间: 1.09 秒
  解压吞吐量: 222.83 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21-rc4.tar.zip

文件 #71: v2.6.21-rc5.tar
  原始大小: 242.61 MiB
  压缩大小: 53.24 MiB
  压缩率: 4.55x
  压缩时间: 5.79 秒
  压缩吞吐量: 41.93 MiB/s
  解压时间: 1.09 秒
  解压吞吐量: 222.89 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21-rc5.tar.zip

文件 #72: v2.6.21-rc6.tar
  原始大小: 242.58 MiB
  压缩大小: 53.24 MiB
  压缩率: 4.55x
  压缩时间: 5.77 秒
  压缩吞吐量: 42.03 MiB/s
  解压时间: 1.09 秒
  解压吞吐量: 222.62 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21-rc6.tar.zip

文件 #73: v2.6.21-rc7.tar
  原始大小: 242.60 MiB
  压缩大小: 53.24 MiB
  压缩率: 4.55x
  压缩时间: 5.71 秒
  压缩吞吐量: 42.52 MiB/s
  解压时间: 1.09 秒
  解压吞吐量: 222.89 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21-rc7.tar.zip

文件 #74: v2.6.21.tar
  原始大小: 242.61 MiB
  压缩大小: 54.24 MiB
  压缩率: 4.47x
  压缩时间: 5.81 秒
  压缩吞吐量: 41.76 MiB/s
  解压时间: 1.10 秒
  解压吞吐量: 221.17 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.21.tar.zip

文件 #75: v2.6.22.tar
  原始大小: 250.74 MiB
  压缩大小: 55.80 MiB
  压缩率: 4.49x
  压缩时间: 6.08 秒
  压缩吞吐量: 41.24 MiB/s
  解压时间: 1.13 秒
  解压吞吐量: 221.08 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.22.tar.zip

文件 #76: v2.6.23.tar
  原始大小: 252.44 MiB
  压缩大小: 56.29 MiB
  压缩率: 4.48x
  压缩时间: 6.06 秒
  压缩吞吐量: 41.68 MiB/s
  解压时间: 1.14 秒
  解压吞吐量: 220.92 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.23.tar.zip

文件 #77: v2.6.24.tar
  原始大小: 260.19 MiB
  压缩大小: 58.03 MiB
  压缩率: 4.48x
  压缩时间: 6.29 秒
  压缩吞吐量: 41.37 MiB/s
  解压时间: 1.18 秒
  解压吞吐量: 221.02 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.24.tar.zip

文件 #78: v2.6.25.tar
  原始大小: 271.46 MiB
  压缩大小: 60.42 MiB
  压缩率: 4.49x
  压缩时间: 6.37 秒
  压缩吞吐量: 42.59 MiB/s
  解压时间: 1.24 秒
  解压吞吐量: 219.45 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.25.tar.zip

文件 #79: v2.6.26.tar
  原始大小: 276.16 MiB
  压缩大小: 61.40 MiB
  压缩率: 4.49x
  压缩时间: 6.49 秒
  压缩吞吐量: 42.53 MiB/s
  解压时间: 1.25 秒
  解压吞吐量: 221.62 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.26.tar.zip

文件 #80: v2.6.27.tar
  原始大小: 280.21 MiB
  压缩大小: 62.53 MiB
  压缩率: 4.48x
  压缩时间: 6.64 秒
  压缩吞吐量: 42.18 MiB/s
  解压时间: 1.27 秒
  解压吞吐量: 221.40 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.27.tar.zip

文件 #81: v2.6.28.tar
  原始大小: 295.88 MiB
  压缩大小: 65.54 MiB
  压缩率: 4.51x
  压缩时间: 7.37 秒
  压缩吞吐量: 40.13 MiB/s
  解压时间: 1.33 秒
  解压吞吐量: 222.04 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.28.tar.zip

文件 #82: v2.6.29.tar
  原始大小: 320.60 MiB
  压缩大小: 70.64 MiB
  压缩率: 4.53x
  压缩时间: 7.73 秒
  压缩吞吐量: 41.47 MiB/s
  解压时间: 1.44 秒
  解压吞吐量: 222.09 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.29.tar.zip

文件 #83: v2.6.30.tar
  原始大小: 336.78 MiB
  压缩大小: 74.34 MiB
  压缩率: 4.52x
  压缩时间: 7.98 秒
  压缩吞吐量: 42.21 MiB/s
  解压时间: 1.52 秒
  解压吞吐量: 221.95 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.30.tar.zip

文件 #84: v2.6.31.tar
  原始大小: 348.76 MiB
  压缩大小: 76.85 MiB
  压缩率: 4.53x
  压缩时间: 8.41 秒
  压缩吞吐量: 41.49 MiB/s
  解压时间: 1.61 秒
  解压吞吐量: 216.74 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.31.tar.zip

文件 #85: v2.6.32.tar
  原始大小: 364.67 MiB
  压缩大小: 80.43 MiB
  压缩率: 4.53x
  压缩时间: 8.73 秒
  压缩吞吐量: 41.79 MiB/s
  解压时间: 1.64 秒
  解压吞吐量: 222.19 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.32.tar.zip

文件 #86: v2.6.33.tar
  原始大小: 376.79 MiB
  压缩大小: 83.05 MiB
  压缩率: 4.53x
  压缩时间: 8.76 秒
  压缩吞吐量: 43.03 MiB/s
  解压时间: 1.69 秒
  解压吞吐量: 222.50 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.33.tar.zip

文件 #87: v2.6.34.tar
  原始大小: 385.92 MiB
  压缩大小: 85.02 MiB
  压缩率: 4.53x
  压缩时间: 8.98 秒
  压缩吞吐量: 42.99 MiB/s
  解压时间: 1.76 秒
  解压吞吐量: 219.02 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.34.tar.zip

文件 #88: v2.6.35.tar
  原始大小: 393.76 MiB
  压缩大小: 86.71 MiB
  压缩率: 4.54x
  压缩时间: 9.23 秒
  压缩吞吐量: 42.65 MiB/s
  解压时间: 1.80 秒
  解压吞吐量: 219.05 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.35.tar.zip

文件 #89: v2.6.36.tar
  原始大小: 394.49 MiB
  压缩大小: 87.05 MiB
  压缩率: 4.53x
  压缩时间: 9.40 秒
  压缩吞吐量: 41.95 MiB/s
  解压时间: 1.80 秒
  解压吞吐量: 219.74 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.36.tar.zip

文件 #90: v2.6.37.tar
  原始大小: 411.36 MiB
  压缩大小: 90.73 MiB
  压缩率: 4.53x
  压缩时间: 9.59 秒
  压缩吞吐量: 42.88 MiB/s
  解压时间: 1.85 秒
  解压吞吐量: 221.94 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.37.tar.zip

文件 #91: v2.6.38.tar
  原始大小: 420.08 MiB
  压缩大小: 92.40 MiB
  压缩率: 4.54x
  压缩时间: 9.89 秒
  压缩吞吐量: 42.46 MiB/s
  解压时间: 1.92 秒
  解压吞吐量: 218.99 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.38.tar.zip

文件 #92: v2.6.39.tar
  原始大小: 428.76 MiB
  压缩大小: 94.25 MiB
  压缩率: 4.54x
  压缩时间: 10.17 秒
  压缩吞吐量: 42.17 MiB/s
  解压时间: 1.95 秒
  解压吞吐量: 219.83 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.39.tar.zip

文件 #93: v3.0.tar
  原始大小: 430.08 MiB
  压缩大小: 94.96 MiB
  压缩率: 4.52x
  压缩时间: 10.15 秒
  压缩吞吐量: 42.37 MiB/s
  解压时间: 1.94 秒
  解压吞吐量: 221.26 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.0.tar.zip

文件 #94: v3.1.tar
  原始大小: 433.41 MiB
  压缩大小: 95.61 MiB
  压缩率: 4.53x
  压缩时间: 10.19 秒
  压缩吞吐量: 42.52 MiB/s
  解压时间: 1.95 秒
  解压吞吐量: 222.76 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.1.tar.zip

文件 #95: v3.2.tar
  原始大小: 439.56 MiB
  压缩大小: 96.86 MiB
  压缩率: 4.53x
  压缩时间: 10.40 秒
  压缩吞吐量: 42.27 MiB/s
  解压时间: 2.07 秒
  解压吞吐量: 212.16 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.2.tar.zip

文件 #96: v3.3.tar
  原始大小: 444.49 MiB
  压缩大小: 97.94 MiB
  压缩率: 4.53x
  压缩时间: 10.27 秒
  压缩吞吐量: 43.26 MiB/s
  解压时间: 2.00 秒
  解压吞吐量: 222.21 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.3.tar.zip

文件 #97: v3.4.tar
  原始大小: 450.67 MiB
  压缩大小: 99.25 MiB
  压缩率: 4.54x
  压缩时间: 10.49 秒
  压缩吞吐量: 42.97 MiB/s
  解压时间: 2.04 秒
  解压吞吐量: 220.53 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.4.tar.zip

文件 #98: v3.5.tar
  原始大小: 457.50 MiB
  压缩大小: 100.49 MiB
  压缩率: 4.55x
  压缩时间: 10.73 秒
  压缩吞吐量: 42.62 MiB/s
  解压时间: 2.05 秒
  解压吞吐量: 223.58 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.5.tar.zip

文件 #99: v3.6.tar
  原始大小: 466.54 MiB
  压缩大小: 102.12 MiB
  压缩率: 4.56x
  压缩时间: 10.87 秒
  压缩吞吐量: 42.93 MiB/s
  解压时间: 2.08 秒
  解压吞吐量: 223.96 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.6.tar.zip

文件 #100: v3.7.tar
  原始大小: 475.90 MiB
  压缩大小: 103.78 MiB
  压缩率: 4.58x
  压缩时间: 11.20 秒
  压缩吞吐量: 42.49 MiB/s
  解压时间: 2.16 秒
  解压吞吐量: 220.56 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.7.tar.zip

文件 #101: v3.8.tar
  原始大小: 482.23 MiB
  压缩大小: 105.15 MiB
  压缩率: 4.58x
  压缩时间: 11.70 秒
  压缩吞吐量: 41.22 MiB/s
  解压时间: 2.15 秒
  解压吞吐量: 224.04 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.8.tar.zip

文件 #102: v3.9.tar
  原始大小: 490.02 MiB
  压缩大小: 106.78 MiB
  压缩率: 4.58x
  压缩时间: 11.37 秒
  压缩吞吐量: 43.09 MiB/s
  解压时间: 2.18 秒
  解压吞吐量: 224.42 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.9.tar.zip

文件 #103: v3.10.tar
  原始大小: 497.40 MiB
  压缩大小: 108.38 MiB
  压缩率: 4.58x
  压缩时间: 11.78 秒
  压缩吞吐量: 42.22 MiB/s
  解压时间: 2.22 秒
  解压吞吐量: 224.14 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.10.tar.zip

文件 #104: v3.11.tar
  原始大小: 509.38 MiB
  压缩大小: 111.18 MiB
  压缩率: 4.58x
  压缩时间: 11.78 秒
  压缩吞吐量: 43.25 MiB/s
  解压时间: 2.43 秒
  解压吞吐量: 209.66 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.11.tar.zip

文件 #105: v3.12.tar
  原始大小: 518.76 MiB
  压缩大小: 113.24 MiB
  压缩率: 4.58x
  压缩时间: 12.21 秒
  压缩吞吐量: 42.47 MiB/s
  解压时间: 2.47 秒
  解压吞吐量: 209.96 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.12.tar.zip

文件 #106: v3.13.tar
  原始大小: 524.34 MiB
  压缩大小: 114.39 MiB
  压缩率: 4.58x
  压缩时间: 12.16 秒
  压缩吞吐量: 43.11 MiB/s
  解压时间: 2.34 秒
  解压吞吐量: 223.64 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.13.tar.zip

文件 #107: v3.14.tar
  原始大小: 534.11 MiB
  压缩大小: 116.23 MiB
  压缩率: 4.59x
  压缩时间: 12.44 秒
  压缩吞吐量: 42.91 MiB/s
  解压时间: 2.41 秒
  解压吞吐量: 222.05 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.14.tar.zip

文件 #108: v3.15.tar
  原始大小: 545.03 MiB
  压缩大小: 118.35 MiB
  压缩率: 4.60x
  压缩时间: 12.68 秒
  压缩吞吐量: 42.98 MiB/s
  解压时间: 2.54 秒
  解压吞吐量: 214.18 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.15.tar.zip

文件 #109: v3.16.tar
  原始大小: 551.85 MiB
  压缩大小: 119.70 MiB
  压缩率: 4.61x
  压缩时间: 12.67 秒
  压缩吞吐量: 43.55 MiB/s
  解压时间: 2.45 秒
  解压吞吐量: 224.86 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.16.tar.zip

文件 #110: v3.17.tar
  原始大小: 549.89 MiB
  压缩大小: 119.36 MiB
  压缩率: 4.60x
  压缩时间: 15.25 秒
  压缩吞吐量: 36.06 MiB/s
  解压时间: 2.45 秒
  解压吞吐量: 224.01 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.17.tar.zip

文件 #111: v3.18.tar
  原始大小: 553.53 MiB
  压缩大小: 120.23 MiB
  压缩率: 4.60x
  压缩时间: 15.65 秒
  压缩吞吐量: 35.37 MiB/s
  解压时间: 2.70 秒
  解压吞吐量: 205.17 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.18.tar.zip

文件 #112: v3.19.tar
  原始大小: 557.38 MiB
  压缩大小: 121.10 MiB
  压缩率: 4.60x
  压缩时间: 15.48 秒
  压缩吞吐量: 36.00 MiB/s
  解压时间: 2.51 秒
  解压吞吐量: 222.02 MiB/s
  压缩文件: ./compressed_datasets/linux/v3.19.tar.zip

文件 #113: v4.0.tar
  原始大小: 562.66 MiB
  压缩大小: 122.16 MiB
  压缩率: 4.60x
  压缩时间: 15.33 秒
  压缩吞吐量: 36.69 MiB/s
  解压时间: 2.52 秒
  解压吞吐量: 222.86 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.0.tar.zip

文件 #114: v4.1.tar
  原始大小: 568.32 MiB
  压缩大小: 123.28 MiB
  压缩率: 4.60x
  压缩时间: 13.19 秒
  压缩吞吐量: 43.07 MiB/s
  解压时间: 2.54 秒
  解压吞吐量: 224.14 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.1.tar.zip

文件 #115: v4.2.tar
  原始大小: 601.72 MiB
  压缩大小: 127.99 MiB
  压缩率: 4.70x
  压缩时间: 13.55 秒
  压缩吞吐量: 44.40 MiB/s
  解压时间: 2.66 秒
  解压吞吐量: 226.13 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.2.tar.zip

文件 #116: v4.3.tar
  原始大小: 611.15 MiB
  压缩大小: 129.87 MiB
  压缩率: 4.70x
  压缩时间: 14.01 秒
  压缩吞吐量: 43.62 MiB/s
  解压时间: 2.70 秒
  解压吞吐量: 226.64 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.3.tar.zip

文件 #117: v4.4.tar
  原始大小: 618.32 MiB
  压缩大小: 130.74 MiB
  压缩率: 4.72x
  压缩时间: 13.97 秒
  压缩吞吐量: 44.26 MiB/s
  解压时间: 2.80 秒
  解压吞吐量: 221.05 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.4.tar.zip

文件 #118: v4.5.tar
  原始大小: 627.56 MiB
  压缩大小: 132.39 MiB
  压缩率: 4.73x
  压缩时间: 14.24 秒
  压缩吞吐量: 44.08 MiB/s
  解压时间: 2.77 秒
  解压吞吐量: 226.56 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.5.tar.zip

文件 #119: v4.6.tar
  原始大小: 635.34 MiB
  压缩大小: 133.99 MiB
  压缩率: 4.74x
  压缩时间: 14.48 秒
  压缩吞吐量: 43.88 MiB/s
  解压时间: 2.80 秒
  解压吞吐量: 226.57 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.6.tar.zip

文件 #120: v4.7.tar
  原始大小: 645.61 MiB
  压缩大小: 135.59 MiB
  压缩率: 4.76x
  压缩时间: 14.75 秒
  压缩吞吐量: 43.76 MiB/s
  解压时间: 2.84 秒
  解压吞吐量: 227.58 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.7.tar.zip

文件 #121: v4.8.tar
  原始大小: 655.14 MiB
  压缩大小: 137.77 MiB
  压缩率: 4.75x
  压缩时间: 15.32 秒
  压缩吞吐量: 42.77 MiB/s
  解压时间: 3.05 秒
  解压吞吐量: 215.14 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.8.tar.zip

文件 #122: v4.9.tar
  原始大小: 663.35 MiB
  压缩大小: 139.39 MiB
  压缩率: 4.75x
  压缩时间: 15.18 秒
  压缩吞吐量: 43.69 MiB/s
  解压时间: 2.92 秒
  解压吞吐量: 226.97 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.9.tar.zip

文件 #123: v4.10.tar
  原始大小: 680.06 MiB
  压缩大小: 141.73 MiB
  压缩率: 4.79x
  压缩时间: 15.34 秒
  压缩吞吐量: 44.32 MiB/s
  解压时间: 2.98 秒
  解压吞吐量: 228.34 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.10.tar.zip

文件 #124: v4.11.tar
  原始大小: 688.81 MiB
  压缩大小: 143.48 MiB
  压缩率: 4.80x
  压缩时间: 15.58 秒
  压缩吞吐量: 44.20 MiB/s
  解压时间: 3.01 秒
  解压吞吐量: 228.57 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.11.tar.zip

文件 #125: v4.12.tar
  原始大小: 743.61 MiB
  压缩大小: 149.70 MiB
  压缩率: 4.96x
  压缩时间: 16.00 秒
  压缩吞吐量: 46.48 MiB/s
  解压时间: 3.22 秒
  解压吞吐量: 231.17 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.12.tar.zip

文件 #126: v4.13.tar
  原始大小: 780.13 MiB
  压缩大小: 153.37 MiB
  压缩率: 5.08x
  压缩时间: 16.86 秒
  压缩吞吐量: 46.27 MiB/s
  解压时间: 3.33 秒
  解压吞吐量: 233.95 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.13.tar.zip

文件 #127: v4.14.tar
  原始大小: 786.83 MiB
  压缩大小: 153.70 MiB
  压缩率: 5.11x
  压缩时间: 17.33 秒
  压缩吞吐量: 45.39 MiB/s
  解压时间: 3.35 秒
  解压吞吐量: 234.85 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.14.tar.zip

文件 #128: v4.15.tar
  原始大小: 795.70 MiB
  压缩大小: 155.54 MiB
  压缩率: 5.11x
  压缩时间: 16.83 秒
  压缩吞吐量: 47.27 MiB/s
  解压时间: 3.39 秒
  解压吞吐量: 234.69 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.15.tar.zip

文件 #129: v4.16.tar
  原始大小: 797.21 MiB
  压缩大小: 156.76 MiB
  压缩率: 5.08x
  压缩时间: 16.95 秒
  压缩吞吐量: 47.03 MiB/s
  解压时间: 3.44 秒
  解压吞吐量: 231.65 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.16.tar.zip

文件 #130: v4.17.tar
  原始大小: 795.18 MiB
  压缩大小: 155.63 MiB
  压缩率: 5.10x
  压缩时间: 16.75 秒
  压缩吞吐量: 47.46 MiB/s
  解压时间: 3.39 秒
  解压吞吐量: 234.30 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.17.tar.zip

文件 #131: v4.18.tar
  原始大小: 791.48 MiB
  压缩大小: 155.08 MiB
  压缩率: 5.10x
  压缩时间: 17.29 秒
  压缩吞吐量: 45.77 MiB/s
  解压时间: 3.43 秒
  解压吞吐量: 230.83 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.18.tar.zip

文件 #132: v4.19.tar
  原始大小: 800.57 MiB
  压缩大小: 157.05 MiB
  压缩率: 5.09x
  压缩时间: 16.96 秒
  压缩吞吐量: 47.19 MiB/s
  解压时间: 3.48 秒
  解压吞吐量: 230.31 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.19.tar.zip

文件 #133: v4.20.tar
  原始大小: 815.17 MiB
  压缩大小: 159.12 MiB
  压缩率: 5.12x
  压缩时间: 17.44 秒
  压缩吞吐量: 46.73 MiB/s
  解压时间: 3.47 秒
  解压吞吐量: 234.63 MiB/s
  压缩文件: ./compressed_datasets/linux/v4.20.tar.zip

文件 #134: v5.0.tar
  原始大小: 823.31 MiB
  压缩大小: 160.54 MiB
  压缩率: 5.12x
  压缩时间: 18.09 秒
  压缩吞吐量: 45.52 MiB/s
  解压时间: 3.57 秒
  解压吞吐量: 230.68 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.0.tar.zip

文件 #135: v5.1.tar
  原始大小: 831.27 MiB
  压缩大小: 162.05 MiB
  压缩率: 5.12x
  压缩时间: 17.56 秒
  压缩吞吐量: 47.34 MiB/s
  解压时间: 3.58 秒
  解压吞吐量: 231.97 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.1.tar.zip

文件 #136: v5.2.tar
  原始大小: 830.86 MiB
  压缩大小: 162.32 MiB
  压缩率: 5.11x
  压缩时间: 18.03 秒
  压缩吞吐量: 46.08 MiB/s
  解压时间: 3.55 秒
  解压吞吐量: 233.75 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.2.tar.zip

文件 #137: v5.3.tar
  原始大小: 871.02 MiB
  压缩大小: 166.00 MiB
  压缩率: 5.24x
  压缩时间: 18.04 秒
  压缩吞吐量: 48.27 MiB/s
  解压时间: 3.67 秒
  解压吞吐量: 237.23 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.3.tar.zip

文件 #138: v5.4.tar
  原始大小: 894.67 MiB
  压缩大小: 168.27 MiB
  压缩率: 5.31x
  压缩时间: 18.83 秒
  压缩吞吐量: 47.50 MiB/s
  解压时间: 3.81 秒
  解压吞吐量: 235.02 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.4.tar.zip

文件 #139: v5.5.tar
  原始大小: 903.78 MiB
  压缩大小: 170.10 MiB
  压缩率: 5.31x
  压缩时间: 18.52 秒
  压缩吞吐量: 48.80 MiB/s
  解压时间: 3.80 秒
  解压吞吐量: 237.98 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.5.tar.zip

文件 #140: v5.6.tar
  原始大小: 913.25 MiB
  压缩大小: 171.87 MiB
  压缩率: 5.31x
  压缩时间: 18.83 秒
  压缩吞吐量: 48.51 MiB/s
  解压时间: 3.84 秒
  解压吞吐量: 237.89 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.6.tar.zip

文件 #141: v5.7.tar
  原始大小: 921.03 MiB
  压缩大小: 173.42 MiB
  压缩率: 5.31x
  压缩时间: 18.77 秒
  压缩吞吐量: 49.06 MiB/s
  解压时间: 3.87 秒
  解压吞吐量: 238.03 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.7.tar.zip

文件 #142: v5.8.tar
  原始大小: 938.30 MiB
  压缩大小: 176.32 MiB
  压缩率: 5.32x
  压缩时间: 20.10 秒
  压缩吞吐量: 46.67 MiB/s
  解压时间: 3.95 秒
  解压吞吐量: 237.31 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.8.tar.zip

文件 #143: v5.9.tar
  原始大小: 964.17 MiB
  压缩大小: 175.12 MiB
  压缩率: 5.50x
  压缩时间: 19.68 秒
  压缩吞吐量: 48.99 MiB/s
  解压时间: 4.00 秒
  解压吞吐量: 240.80 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.9.tar.zip

文件 #144: v5.10-rc1.tar
  原始大小: 972.39 MiB
  压缩大小: 176.80 MiB
  压缩率: 5.49x
  压缩时间: 19.46 秒
  压缩吞吐量: 49.96 MiB/s
  解压时间: 4.02 秒
  解压吞吐量: 241.88 MiB/s
  压缩文件: ./compressed_datasets/linux/v5.10-rc1.tar.zip

文件 #145: v5.10-rc2.tar
  原始大小: 971.69 MiB
  压缩大小: 176.67 MiB
  压缩率: 5.50x
  压缩时间: 19.69 秒
  压缩吞吐量: 49.35 MiB/s
  解压时间: 4.02 秒
  解压吞吐量: 241.69 MiB/s
